fikir,nis,aday,source_id,katalog_durumu,denenen_url,erisim,icerik,ilgililik,gerekce,artefakt,artefakt_dosya,bulunan_fiyat,metin_uzunlugu,kaynak_cinsi,kullanilabilir_mi,neden_kullanilamaz
F02,ajans müşteri onayı ve revizyon,Filestage,(katalogda yok),öneri — registry kararı Batuhan'da,https://filestage.io/pricing/,ok,gercek-icerik,relevant,"nişe özgü 7 işaret: proof, approval, revision, annotat, review round",99a6a0440dafe4fc39b5e07cb8ab1827a3575b80b086cfd30e55620fc7ad3272,results/raw/99a6a0440dafe4fc39b5e07cb8ab1827a3575b80b086cfd30e55620fc7ad3272.bin,$ 0,28524,satıcı sitesi — kendi hakkında şikâyet yayımlamaz,evet,
F02,ajans müşteri onayı ve revizyon,Ziflow,(katalogda yok),öneri — registry kararı Batuhan'da,https://www.ziflow.com/pricing,ok,gercek-icerik,relevant,"nişe özgü 6 işaret: proof, approval, revision, annotat, creative",eb96718a97017a8abf7e26da3ee0f7ed7578e61c212d83743a18134427a0fdb7,results/raw/eb96718a97017a8abf7e26da3ee0f7ed7578e61c212d83743a18134427a0fdb7.bin,$ 0,34290,satıcı sitesi — kendi hakkında şikâyet yayımlamaz,evet,
F02,ajans müşteri onayı ve revizyon,SourceForge Reviews,source-0141,kayitli,https://sourceforge.net/directory/?q=proofing%20software,ok,gercek-icerik,uncertain,yalnız 1 işaret: proof,9919880a8abc50101aed2c80052cac785569a7cd09677be9de347a9b993ce67b,results/raw/9919880a8abc50101aed2c80052cac785569a7cd09677be9de347a9b993ce67b.bin,,5194,üçüncü taraf,hayir,ilgililik belirsiz; insan etiketi gerekir
F02,ajans müşteri onayı ve revizyon,GetApp,source-0136,kayitli,https://www.getapp.com/search?query=proofing,challenge,alinmadi,sinanamadi,,,,,0,üçüncü taraf,hayir,erişim hatası: challenge
F09,berber/salon randevu ve gelmeme,Fresha,source-0317,kayitli,https://www.fresha.com/pricing,ok,gercek-icerik,relevant,"nişe özgü 6 işaret: salon, barber, appointment, no-show, booking",885941da0de95654009decfae5a55365a29e9e0480884098da306bc0b6fb5330,results/raw/885941da0de95654009decfae5a55365a29e9e0480884098da306bc0b6fb5330.bin,TRY 240.95,14576,satıcı sitesi — kendi hakkında şikâyet yayımlamaz,evet,
F09,berber/salon randevu ve gelmeme,Booksy,source-0318,kayitli,https://booksy.com/en-us/,ok,gercek-icerik,relevant,"nişe özgü 3 işaret: barber, appointment, spa",f414ebade9d80e7b9bb481979754a0b78623acdf9926f29e6cfae50b57c9073d,results/raw/f414ebade9d80e7b9bb481979754a0b78623acdf9926f29e6cfae50b57c9073d.bin,,1369,satıcı sitesi — kendi hakkında şikâyet yayımlamaz,evet,
F09,berber/salon randevu ve gelmeme,SourceForge Reviews,source-0141,kayitli,https://sourceforge.net/directory/?q=salon%20scheduling%20software,ok,gercek-icerik,uncertain,"yalnız 2 işaret: salon, spa",edd90d8c30ddabb9804d81c31ee447aff9d11bd7e977480f28a68748977792d7,results/raw/edd90d8c30ddabb9804d81c31ee447aff9d11bd7e977480f28a68748977792d7.bin,,18605,üçüncü taraf,hayir,ilgililik belirsiz; insan etiketi gerekir
F09,berber/salon randevu ve gelmeme,SoftwareSuggest,source-0146,kayitli,https://www.softwaresuggest.com/search/index?query=salon,challenge,alinmadi,sinanamadi,,,,,0,üçüncü taraf,hayir,erişim hatası: challenge
F09,berber/salon randevu ve gelmeme,Apple App Store — Booksy Biz,source-0096,kayitli,https://apps.apple.com/us/app/booksy-biz-booking-payments/id725335996,ok,gercek-icerik,relevant,"nişe özgü 6 işaret: salon, appointment, no-show, booking, stylist",25ab2561ed7c4cdeba21cbd71080c71579c7c73cafffac054bc2d6723c1f98ff,results/raw/25ab2561ed7c4cdeba21cbd71080c71579c7c73cafffac054bc2d6723c1f98ff.bin,$15.6,29239,üçüncü taraf,evet,
F09,berber/salon randevu ve gelmeme,Apple App Store — Fresha,source-0096,kayitli,https://apps.apple.com/us/app/fresha-for-business/id1455346253,rate_limited,alinmadi,sinanamadi,,,,,0,üçüncü taraf,hayir,erişim hatası: rate_limited
