kategori,arama_niyeti,niyet_tanimi,source_id,kaynak_adi,ornek_kayit,ornek_kayit_basligi,kanit_gerekcesi,beklenen_benzersiz_katki,alinabilen_alan,bagimsizlik_grubu,dil_pazar,tazelik,erisim_kisiti,fallback,aday_sorgu_yuzeyi,incelenen_belge_sayisi
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0065,AppSumo,doc-dfc3493d66fa · https://appsumo.com/browse/,Browse software deals for your business. | AppSumo,"competitor_discovery yüzeyi olarak çekildi, 4785 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, Ürün lansmanı ve startup toplulukları · alanları başka kaynakta da var, çapraz doğrulama değeri","engagement_yorum_sayisi, fiyat",grup-source-0065,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",Wellfound,local_index · yerel dizinde 10028 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0073,Wellfound,doc-8c65c8605d29 · https://wellfound.com/browse/remote-tech-jobs,Browse Remote Tech and Startup Jobs | Wellfound,"competitor_discovery yüzeyi olarak çekildi, 12243 karakter metin","Ürün lansmanı ve startup toplulukları, İş ilanları ve yetenek talebi, Şirket, yatırım ve startup verisi · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0073,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (244300 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0136,GetApp,doc-00f843cfeff2 · https://www.getapp.com/browse/,Browse Business Software | GetApp,"competitor_discovery yüzeyi olarak çekildi, 26714 karakter metin","Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları, SaaS, yazılım ve hizmet inceleme siteleri · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0136,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://www.getapp.com/search?query=,1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0137,Software Advice,doc-f05c48810a9e · https://www.softwareadvice.com/categories/,,"competitor_discovery yüzeyi olarak çekildi, 23104 karakter metin","SaaS, yazılım ve hizmet inceleme siteleri · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0137,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (529827 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0141,SourceForge Reviews,doc-40b43fe59315 · https://sourceforge.net/directory/,Compare Open Source Software,surum = 1.0.0,bu hücrede yalnız burada: surum,"engagement_yorum_sayisi, surum",grup-source-0020,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2021-09-05),"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,site_search · https://sourceforge.net/proxy-api/search/filter-integrations?q=,1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0143,Serchen,doc-a1f4eb592091 · https://www.serchen.com/browse,Serchen — Business Software Marketplace,"competitor_discovery yüzeyi olarak çekildi, 32834 karakter metin","SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",engagement_yorum_sayisi,grup-source-0143,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 30 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0144,FinancesOnline,doc-a9f970a9e9eb · https://financesonline.com/category/b2b-news/,B2B News & Articles - FinancesOnline.com,"competitor_discovery yüzeyi olarak çekildi, 17623 karakter metin","SaaS, yazılım ve hizmet inceleme siteleri · alanları başka kaynakta da var, çapraz doğrulama değeri",fiyat,grup-source-0144,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 38 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0147,Tekpon,doc-34aae470587f · https://tekpon.com/categories/,All Software Categories & Top Tools - Tekpon 2026,"competitor_discovery yüzeyi olarak çekildi, 6228 karakter metin","SaaS, yazılım ve hizmet inceleme siteleri · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0147,en · pazar global,sayfa yayın tarihi beyan ediyor (en yeni 2021-04-09),"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 19 adres (ağsız arama),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0202,Wappalyzer,doc-b9ebe6dc1b02 · https://www.wappalyzer.com/apps/,Apps - Wappalyzer,"competitor_discovery yüzeyi olarak çekildi, 2546 karakter metin","Domain, DNS, sertifika ve web footprint, Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0202,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,fulltext · tam metin elde (95347 bayt),1
b2b-web-yazilimi,competitor_discovery,Doğrudan ve dolaylı rakip adayları,source-0286,Lever Jobs,doc-c549686c7348 · https://www.lever.co/marketplace,Partner Marketplace | Lever,"competitor_discovery yüzeyi olarak çekildi, 28267 karakter metin","İş ilanları ve yetenek talebi · ölçülebilir alan çıkmadı, yüzey kanıtı",(ölçülebilir alan yok),grup-source-0286,en · pazar global,yayın tarihi YOK (unknown_date) · yalnızca toplama anı 2026-09-18,"erişim anlığı 2026-09-18 — GÜNCEL İZİN GARANTİSİ DEĞİL, kullanımdan önce robots yeniden kontrol edilmeli",AppSumo,local_index · yerel dizinde 417 adres (ağsız arama),1
