kategori,soru_id,soru,soru_turu,neden_onemli,kanit_turu,kanit_kaynak_grubu,kanit_kaynak_rolu,ornek_kaynaklar,kaynak_sayisi,calisan_kaynak,neden_gecerli,zayif_alternatif
b2b-web-yazilimi,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Teknoloji yığını dağılımı: kaç site hangi ürünü kullanıyor,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",kategori,"AWS Pricing Calculator, AppSumo, Azure Pricing Calculator, BuiltWith",20,20,"Kurulu taban, pazar payının doğrudan ölçümüdür",Ürünün kendi 'X binden fazla müşteri' iddiası
b2b-web-yazilimi,doygun-mu,"Pazar doygun mu, boşluk var mı?",ortak,Doygunsa farklılaşma zorunlu; değilse hızlı giriş mümkün,Ürün sayısı ile yorum sayısının dağılımı; ilk 5'in payı,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,Yorumun az sayıda üründe toplanması yerleşik oyuncu olduğunu gösterir,Ürün sayısı tek başına — çoğu ürün marjinal olabilir
b2b-web-yazilimi,giris-engeli,Bu pazara girişin önünde ne var?,ortak,"Teknik, yasal ya da dağıtım engeli varsa maliyet ve süre değişir",Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,Patent ve marka,ortak,"EUIPO, Google Patents, Justia Patents, The Trademark Search Company",13,9,Patent kaydı kamuya açık ve tarihlidir,Patent sayısının çokluğu tek başına — çoğu uygulanmıyor olabilir
b2b-web-yazilimi,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Aynı işlev için ödenen sözleşme bedelleri ve indirim oranları,"Fiyat, teknoloji ve pazar sinyali karşılaştırma kaynakları",kategori,"AWS Pricing Calculator, AppSumo, Azure Pricing Calculator, BuiltWith",20,20,"Gerçekleşmiş sözleşme, liste fiyatından daha güçlü kanıttır",Liste fiyatı — kurumsal satışta neredeyse hiç uygulanmaz
b2b-web-yazilimi,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",ortak,Fiyat aralığı iş modelini ve gereken ölçeği belirler,Yayınlanmış paket fiyatları ve kullanıcı başına aylık ücret aralığı,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,Yayınlanmış fiyat pazarın kabul ettiği bandı gösterir,'Fiyat için iletişime geçin' diyen sayfalar — bilgi vermez
b2b-web-yazilimi,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,Kategori sayfasındaki ürünler ve pazar payı göstergeleri,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,"İnceleme siteleri rakipleri karşılaştırmalı listeler, tek ürün anlatmaz",Google'da ilk çıkan ürünler — reklam bütçesini yansıtır
b2b-web-yazilimi,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,ortak,Rakip yoksa ya pazar yoktur ya da erken; varsa kimin ne yaptığı bilinmeli,"Alanda yatırım almış şirketler, tur büyüklükleri ve tarihleri","Şirket, yatırım ve startup verisi",ortak,"500 Global Companies, AngelList, Apollo, CB Insights",28,26,Yatırım kaydı doğrulanabilir ve tarihlidir,Basın bültenlerindeki 'lider konum' iddiaları
b2b-web-yazilimi,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Yorumların 'eksiler' bölümlerinde tekrar eden başlıklar,"SaaS, yazılım ve hizmet inceleme siteleri",kategori,"Better Business Bureau, Capterra, ConsumerAffairs, Crozdesk",25,20,İnceleme siteleri artı/eksi ayrımını yapılandırılmış tutar,Genel memnuniyet puanı — hangi işlevin eksik olduğunu söylemez
b2b-web-yazilimi,sikayet-ne,Mevcut çözümlerden neden şikâyetçiler?,ortak,Farklılaşmanın nereden geleceğini belirler; ürün kararını doğrudan etkiler,Tekrar eden şikâyet ve 'alternatif arıyorum' gönderileri,Sosyal ağlar ve açık topluluklar,ortak,"Bluesky, Discord, Discourse, Groups.io",24,15,Kullanıcı kendi sorununu kendi cümlesiyle yazar,Beğeni sayısı yüksek tek bir gönderi
b2b-web-yazilimi,talep-var-mi,Bu ürüne gerçekten talep var mı?,ortak,Talep yoksa diğer soruların cevabı önemsizdir; ilk elenme noktası budur,Hedef kitlenin büyüklüğü ve ilgili sektör istatistikleri,Kamu verisi ve istatistik,ortak,"Bureau of Labor Statistics, Data.gov, Destatis, Eurostat",25,21,Resmî istatistik yöntemi açıklanmış ve tekrarlanabilir ölçümdür,Pazar araştırması şirketlerinin ücretli rapor özetleri
