fikir,kategori,katmanlar,ekler,soru_id,soru,yuva,kaynak_grubu,kanit_turu,birincil_kaynak,yedekler,host,izin_durumu,olcum_alani,dogrulanmis_alan,kaynak_rolu,neden_secildi,yuva_sayisi
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,doygun-mu,"Pazar doygun mu, boşluk var mı?",1,Mobil uygulama mağazaları,İlk 20'nin yorum sayısı dağılımı ve son güncelleme tarihleri,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,2
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,doygun-mu,"Pazar doygun mu, boşluk var mı?",2,Dijital ürün ve şablon pazar yerleri,Kategorideki ürün sayısı ve satışın ilk 10 satıcıda toplanma oranı,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,2. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),2
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,giris-engeli,Bu pazara girişin önünde ne var?,1,Akademik araştırma ve bilimsel yayınlar,Alandaki yayın yoğunluğu ve çözülmemiş problem başlıkları,Dimensions,"Web of Science, Lens.org",dimensions.ai,robots-izinli,"kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,1. kanıt yuvası (Akademik araştırma ve bilimsel yayınlar); 1 alanı artefaktta doğrulanmış,3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,giris-engeli,Bu pazara girişin önünde ne var?,2,Sağlık ve biyoteknoloji dikeyi,Ruhsat/onay gereksinimleri ve benzer ürünlerin onay süreleri,NICE,"WHO, CDC",nice.com,robots-izinli,"istatistik_serisi, kayit_sayisi",,ek,2. kanıt yuvası (Sağlık ve biyoteknoloji dikeyi),3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,giris-engeli,Bu pazara girişin önünde ne var?,3,Patent ve marka,Alandaki patent başvuru yoğunluğu ve baskın hak sahipleri,The Trademark Search Company,"USPTO Trademark Search, Google Patents",thetrademarksearchcompany.com,robots-izinli,kayit_sayisi,,destekleyici,3. kanıt yuvası (Patent ve marka),3
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,kesfedilebilirlik,Ürün platformda keşfedilebilir mi?,1,Mobil uygulama mağazaları,Kategorideki toplam uygulama sayısı ve ilk sayfaya girme eşiği,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,1
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",1,Mobil uygulama mağazaları,"Ücretli uygulamaların fiyat aralığı, uygulama içi satın alma kalemleri",Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,2
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,odeme-istegi,"Kullanıcılar bunun için para ödüyor mu, ne kadar?",2,Dijital ürün ve şablon pazar yerleri,Benzer ürünlerin fiyat dağılımı ve satış adedi gösterilen listelemeler,ThemeForest,"Envato Market, CodeCanyon",themeforest.net,robots-izinli,"fiyat, puan, urun_sayisi",,destekleyici,2. kanıt yuvası (Dijital ürün ve şablon pazar yerleri),2
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,platform-politikasi,Platform politikası bu ürüne izin veriyor mu?,1,Mobil uygulama mağazaları,Mağazanın yayın kuralları ve reddedilen işlev listeleri,Google Play Store,"Apple App Store, APKMirror",play.google.com,robots-izinli,"fiyat, indirme_sayisi, puan, siralama, urun_sayisi, yorum_sayisi",,cekirdek,1. kanıt yuvası (Mobil uygulama mağazaları); kategorinin çekirdek kaynağı,1
diyabet hastaları için mobil takip uygulaması,mobil-uygulama,,saglik,rakip-kim,Bu ihtiyacı şu an kim karşılıyor?,1,"Domain, DNS, sertifika ve web footprint",Rakip sitelerin teknoloji izleri ve alan adı kayıt tarihleri,Similarweb,"Netcraft, WhoisXML API",similarweb.com,robots-izinli,"arama_hacmi, kayit_sayisi, trend_serisi",kayit_sayisi,destekleyici,"1. kanıt yuvası (Domain, DNS, sertifika ve web footprint); 1 alanı artefaktta doğrulanmış",3
