kategori,paket,kaynak_sayisi,bagimsiz_grup,kapsanan_niyet,kapsanmayan_niyet,kaynaklar,gerekce
b2b-web-yazilimi,standard,6,3,6,stated_wtp_weak_signal,Vertice(problem) | Vertice(existing) | AppSumo(dissatisfaction) | Vendr(use) | AppSumo(competitor) | Vertice(observed),"Her arama niyetinden bir bağımsız grup; 6/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
b2b-web-yazilimi,deep,12,6,6,stated_wtp_weak_signal,Vertice(problem) | PeerSpot(problem) | Vertice(existing) | Lever Jobs(existing) | AppSumo(dissatisfaction) | SourceForge Reviews(dissatisfaction) | Vendr(use) | Vertice(use) | AppSumo(competitor) | SourceForge Reviews(competitor) | Vertice(observed) | AppSumo(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 6/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
egitim,standard,3,2,3,"problem_demand, existing_alternatives, observed_market_pricing, stated_wtp_weak_signal",Class Central(dissatisfaction) | edX(use) | edX(competitor),"Her arama niyetinden bir bağımsız grup; 3/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 4 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
egitim,deep,4,3,3,"problem_demand, existing_alternatives, observed_market_pricing, stated_wtp_weak_signal",Class Central(dissatisfaction) | edX(use) | edX(competitor) | Skillshare(competitor),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 3/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 4 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
eklenti-entegrasyon,standard,6,4,6,stated_wtp_weak_signal,Canva Apps Marketplace(problem) | monday.com Apps Marketplace(existing) | WooCommerce Marketplace(dissatisfaction) | Canva Apps Marketplace(use) | Firefox Add-ons(competitor) | WooCommerce Marketplace(observed),"Her arama niyetinden bir bağımsız grup; 6/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
eklenti-entegrasyon,deep,12,6,6,stated_wtp_weak_signal,Canva Apps Marketplace(problem) | WooCommerce Marketplace(problem) | monday.com Apps Marketplace(existing) | Slack Marketplace(existing) | WooCommerce Marketplace(dissatisfaction) | Shopify App Store(dissatisfaction) | Canva Apps Marketplace(use) | Slack Marketplace(use) | Firefox Add-ons(competitor) | WooCommerce Marketplace(competitor) | WooCommerce Marketplace(observed) | Canva Apps Marketplace(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 6/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 1 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
fintech,standard,5,5,5,"observed_market_pricing, stated_wtp_weak_signal",Borsa İstanbul(problem) | Bank for International Settlements(existing) | World Bank(dissatisfaction) | Companies House(use) | FRED(competitor),"Her arama niyetinden bir bağımsız grup; 5/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
fintech,deep,9,7,5,"observed_market_pricing, stated_wtp_weak_signal",Borsa İstanbul(problem) | World Bank(problem) | Bank for International Settlements(existing) | World Bank(dissatisfaction) | Investing.com(dissatisfaction) | Companies House(use) | Bank for International Settlements(use) | FRED(competitor) | NYSE(competitor),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 5/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 2 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
gayrimenkul,standard,4,3,4,"use_case, competitor_discovery, stated_wtp_weak_signal",Emlakjet(problem) | Emlakjet(existing) | Rightmove(dissatisfaction) | Trulia(observed),"Her arama niyetinden bir bağımsız grup; 4/7 niyet kapsanıyor. Kanıt tek kaynaktan gelir, çapraz doğrulama yok. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
gayrimenkul,deep,6,4,4,"use_case, competitor_discovery, stated_wtp_weak_signal",Emlakjet(problem) | U.S. Census Building Permits(problem) | Emlakjet(existing) | Rightmove(dissatisfaction) | Trulia(observed) | Emlakjet(observed),"Aynı niyetlere ikinci bir BAĞIMSIZ grup eklenir; 4/7 niyet kapsanıyor. Fark kaynak sayısı değil, çapraz doğrulama: aynı bulguyu iki farklı sahiplikten görmek. Kapsanmayan 3 niyet için bu paket kanıt ÜRETMEZ; yeterlilik matrisindeki gap sebebine bakılmalı."
